playerID,trial,outcome,pairz,choice
60,1,-1,2,3
60,2,-1,1,2
60,3,0,2,4
60,4,-1,1,1
60,5,0,2,4
60,6,0,1,2
60,7,-1,2,4
60,8,-1,1,2
60,9,0,2,4
60,10,0,1,2
60,11,0,1,2
60,12,0,2,4
60,13,0,2,4
60,14,-1,2,4
60,15,0,2,4
60,16,0,1,2
60,17,0,2,4
60,18,0,1,2
60,19,0,1,2
60,20,0,1,2
60,21,0,1,2
60,22,0,1,2
60,23,0,1,2
60,24,0,1,2
60,25,0,2,4
60,26,0,1,2
60,27,-1,1,2
60,28,0,2,4
60,29,0,1,2
60,30,0,2,4
60,31,0,1,2
60,32,0,2,4
60,33,0,2,4
60,34,0,2,4
60,35,0,2,4
60,36,-1,1,1
60,37,0,1,1
60,38,-1,1,1
60,39,0,1,2
60,40,0,1,2
60,41,0,3,6
60,42,1,4,7
60,43,1,3,5
60,44,1,3,5
60,45,1,4,7
60,46,1,3,5
60,47,1,3,5
60,48,0,3,5
60,49,0,3,5
60,50,1,4,7
60,51,1,3,5
60,52,1,3,5
60,53,0,4,7
60,54,1,4,7
60,55,0,4,7
60,56,1,4,7
60,57,1,4,7
60,58,1,4,7
60,59,0,3,5
60,60,1,3,5
60,61,0,4,7
60,62,1,4,7
60,63,1,3,5
60,64,1,4,7
60,65,1,3,5
60,66,1,3,5
60,67,1,3,5
60,68,1,4,7
60,69,1,3,5
60,70,1,4,7
60,71,1,4,7
60,72,1,3,5
60,73,1,4,7
60,74,1,4,7
60,75,1,4,7
60,76,0,3,5
60,77,0,3,5
60,78,1,3,5
60,79,1,4,7
60,80,0,4,7
60,81,-1,6,12
60,82,0,5,10
60,83,0,6,11
60,84,-1,6,11
60,85,-1,6,11
60,86,-1,5,9
60,87,0,5,10
60,88,0,5,10
60,89,0,5,10
60,90,0,5,10
60,91,-1,6,12
60,92,0,6,12
60,93,0,5,10
60,94,0,6,11
60,95,-1,6,11
60,96,0,6,11
60,97,0,5,10
60,98,-1,5,10
60,99,-1,6,11
60,100,0,5,10
60,101,-1,6,11
60,102,-1,6,12
60,103,-1,5,10
60,104,0,5,10
60,105,-1,5,10
60,106,0,5,10
60,107,-1,6,11
60,108,-1,5,10
60,109,0,5,10
60,110,-1,5,10
60,111,-1,6,11
60,112,0,5,10
60,113,0,5,10
60,114,0,5,10
60,115,0,5,9
60,116,-1,6,11
60,117,-1,6,11
60,118,0,5,10
60,119,-1,6,11
60,120,0,5,10
60,121,1,8,15
60,122,0,7,14
60,123,1,7,13
60,124,1,7,13
60,125,1,8,15
60,126,1,7,13
60,127,1,7,13
60,128,1,8,15
60,129,1,7,13
60,130,0,8,15
60,131,0,7,13
60,132,0,8,15
60,133,0,8,15
60,134,1,7,13
60,135,1,7,13
60,136,0,8,15
60,137,1,7,13
60,138,0,7,13
60,139,1,8,15
60,140,1,8,15
60,141,1,8,15
60,142,1,7,13
60,143,1,8,15
60,144,0,7,13
60,145,1,8,15
60,146,0,7,13
60,147,0,7,13
60,148,1,7,13
60,149,1,8,15
60,150,1,8,15
60,151,1,7,13
60,152,0,7,13
60,153,1,7,13
60,154,1,8,15
60,155,1,8,15
60,156,1,7,13
60,157,1,7,13
60,158,1,7,13
60,159,0,7,13
60,160,1,8,15